Search term,Ontology,"
Description",Category,Prioridad dentro de la categoría,Otros términos asociados,,Convenciones,,Sensibiltiy,Specificity,Pertinencia? - Relevancia,Nivel en la ontología
Betacoronavirus,NHC,"A genus of enveloped and spherical positive sense ssRNA viruses in the subfamily Coronavirinae of the family Coronaviridae with a diameter of about 120 nm. Betacoronaviruses have a nonopartite, linear genome of 27-32 kb. Bats are the most common reservoir for betacoronaviruses.","Organism, RNA Virus,Virus,  ",ALTA,Betacoronaviruses-Tylonycteris bat coronavirus HKU4-Pipistrellus bat coronavirus HKU5-Human coronavirus HKU1-HCoV-HKU1-Rousettus bat coronavirus HKU9,,Alta,Tiene un alto nivel de especificidad,,Alta,Pertinencia,6/7 - Específico
,	MESH,A genus of the family CORONAVIRIDAE which causes respiratory or gastrointestinal disease in a variety of mostly mammals. Human betacoronaviruses include HUMAN ENTERIC CORONAVIRUS; HUMAN CORONAVIRUS OC43; MERS VIRUS; and SARS VIRUS. Members have either core transcription regulatory sequences of 5'-CUAAAC-3' or 5'-CUAAAC-3' and mostly have no ORF downstream to the N protein gene.,"Betacoronavirus 1, SARS Virus",ALTA,"Human enteric coronavirus
Human enteric coronaviruses
Porcine hemagglutinating encephalomyelitis virus
Encephalomyelitis Virus, Porcine Hemagglutinating
Equine coronavirus
Equine coronaviruses",,,,,,,
Coronavirus Infections,MESH,"Virus diseases caused by the CORONAVIRUS genus. Some specifics include transmissible enteritis of turkeys (ENTERITIS, TRANSMISSIBLE, OF TURKEYS); FELINE INFECTIOUS PERITONITIS; and transmissible gastroenteritis of swine (GASTROENTERITIS, TRANSMISSIBLE, OF SWINE).
",,ALTA,"Coronavirus InfectionCoronavirus Infection	
Infection, Coronavirus	
Infections, Coronavirus	
Middle East Respiratory Syndrome	
MERS (Middle East Respiratory Syndrome)	",,,,,,,
Health Services Needs and Demand,MESH,Health services required by a population or community as well as the health services that the population or community is able and willing to pay for.,Surge Capacity,ALTA,"Needs and Demand, Health Services
Needs
Target Population
Population, Target
Populations, Target
Target Populations
Health Services Needs
Health Services Need
Need, Health Services
Needs, Health Services",,,,,,,
Severe acute respiratory syndrome coronavirus 2,COVID-19,The coronavirus (Severe acute respiratory syndrome coronavirus 2 of the genus Betacoronavirus) that is the causative agent of COVID-19,,ALTA,"2019-nCoV
Wuhan coronavirus
SARS-CoV-2
2019 novel coronavirus
COVID-19 virus
coronavirus disease 2019 virus
COVID19 virus
Wuhan seafood market pneumonia virus",,,,,,,
Severity of Illness Index ,MESH,"Tool for bedside evaluation based on five physiological parameters: SYSTOLIC PRESSURE, PULSE, RESPIRATORY RATE, BODY TEMPERATURE and AVPU (alert, voice, pain, unresponsive) score.",Early Warning Score,ALTA,"Score, Early Warning
Early Warning Scores
Scores, Early Warning
Warning Scores, Early",,,,,,,
Sensitivity and Specificity,MESH,"A graphic means for assessing the ability of a screening test to discriminate between healthy and diseased persons; may also be used in other studies, e.g., distinguishing stimuli responses as to a faint stimuli or nonstimuli.",ROC Curve,ALTA,"Curves, ROC",,,,,,,
transmission process,	HPIO,"Droplet spread transmission is a direct transmission process during which the pathogen is transmitted from a reservoir, source or host to another host by spray of aerosols over a short distance, spray from sneezing, coughing or talking.",droplet spread transmission process,ALTA,,,,,,,,
Airborne transmission ,SNOMEDCT,Airborne transmission,Airborne transmission,ALTA,,,,,,,,
transmission ,MESH,Used with diseases for studies of the modes of transmission.,transmission ,ALTA,"Transmission routes, transmission rates, outbreak ",,,,,,,
